"Index ""RUA.Open"" ""RUA.High"" ""RUA.Low"" ""RUA.Close"" ""RUA.Volume"" ""RUA.Adjusted"""
1987-09-10 178.96 178.96 177.05 178.830002 0 178.830002
1987-09-11 178.83 181.47 178.83 181.339996 0 181.339996
1987-09-14 181.34 182.25 180.75 181.789993 0 181.789993
1987-09-15 181.79 181.79 179.26 179.270004 0 179.270004
1987-09-16 179.27 180.63 177.86 177.889999 0 177.889999
1987-09-17 177.89 178.45 177.2 177.839996 0 177.839996
1987-09-18 177.84 178.77 177.69 177.690002 0 177.690002
1987-09-21 177.69 178.97 175.31 175.479996 0 175.479996
1987-09-22 175.48 179.42 174.65 179.419998 0 179.419998
1987-09-23 179.42 180.62 179.4 180.520004 0 180.520004
1987-09-24 180.52 181.01 179.73 179.970001 0 179.970001
1987-09-25 179.97 180.33 179.3 180.229996 0 180.229996
1987-09-28 180.23 182.61 180.23 181.660004 0 181.660004
1987-09-29 181.66 182.36 180.49 181.660004 0 181.660004
1987-09-30 181.03 181.46 180.38 181.380005 0 181.380005
1987-10-01 181.38 184.14 181.38 184.139999 0 184.139999
1987-10-02 184.14 184.95 184.12 184.699997 0 184.699997
1987-10-05 184.71 184.94 183.91 184.800003 0 184.800003
1987-10-06 184.8 184.8 180.47 180.490005 0 180.490005
1987-10-07 180.49 180.55 178.7 179.889999 0 179.889999
1987-10-08 179.89 180.22 176.67 177.600006 0 177.600006
1987-10-09 177.73 177.93 176.03 176.070007 0 176.070007
1987-10-12 176.07 176.07 173.59 174.850006 0 174.850006
1987-10-13 174.85 177.25 174.85 177.25 0 177.25
1987-10-14 177.25 177.25 172.53 172.699997 0 172.699997
1987-10-15 172.7 172.7 168.97 168.990005 0 168.990005
1987-10-16 168.99 169.19 160.18 160.679993 0 160.679993
1987-10-19 160.68 160.68 130.96 131.039993 0 131.039993
1987-10-20 131.04 139.72 124.78 133.529999 0 133.529999
1987-10-21 133.53 145.47 133.53 145.330002 0 145.330002
1987-10-22 145.33 145.33 137.45 139.610001 0 139.610001
1987-10-23 139.61 140.24 136.85 138.949997 0 138.949997
1987-10-26 138.95 138.95 127.33 127.379997 0 127.379997
1987-10-27 127.38 132.41 127.38 129.580002 0 129.580002
1987-10-28 129.58 130.87 126.04 129.330002 0 129.330002
1987-10-29 129.33 136.31 129.33 135.570007 0 135.570007
1987-10-30 135.57 140.93 135.57 140.320007 0 140.320007
1987-11-02 140.32 142.25 139.12 142.25 0 142.25
1987-11-03 142.25 142.26 136.03 139.589996 0 139.589996
1987-11-04 139.59 139.59 137.36 138.710007 0 138.710007
1987-11-05 138.7 142.17 138.19 141.580002 0 141.580002
1987-11-06 141.58 142.98 139.69 139.910004 0 139.910004
1987-11-09 139.91 139.91 136.19 136.320007 0 136.320007
1987-11-10 136.32 136.32 133.36 133.979996 0 133.979996
1987-11-11 133.98 136.34 133.98 135.350006 0 135.350006
1987-11-12 135.35 139.39 135.35 138.710007 0 138.710007
1987-11-13 138.71 139.17 137.47 137.470001 0 137.470001
1987-11-16 137.47 139.24 137.11 137.910004 0 137.910004
1987-11-17 137.91 137.92 134.87 135.880005 0 135.880005
1987-11-18 135.88 137.13 134.8 137.130005 0 137.130005
1987-11-19 137.13 137.14 134.32 134.360001 0 134.360001
1987-11-20 134.36 135.05 132.26 135.050003 0 135.050003
1987-11-23 135.05 135.58 134.4 135.580002 0 135.580002
1987-11-24 135.58 138.08 135.58 137.339996 0 137.339996
1987-11-25 137.34 137.49 136.41 136.449997 0 136.449997
1987-11-27 136.45 136.46 134.73 134.729996 0 134.729996
1987-11-30 134.73 134.73 127.13 129.300003 0 129.300003
1987-12-01 129.3 130.97 129.3 130.009995 0 130.009995
1987-12-02 130.01 131.08 129.34 130.639999 0 130.639999
1987-12-03 130.64 130.84 126.52 126.550003 0 126.550003
1987-12-04 126.55 126.55 124.09 125.260002 0 125.260002
1987-12-07 125.26 127.4 125.26 127.400002 0 127.400002
1987-12-08 127.4 130.41 127.4 130.410004 0 130.410004
1987-12-09 130.41 133.1 130.03 132.630005 0 132.630005
1987-12-10 132.63 133.14 129.94 130.309998 0 130.309998
1987-12-11 130.31 131.13 130.23 131.100006 0 131.100006
